city,year,arrests,population
"Lowell, Massachusetts",1892,6153,81151
"New York, New York",1893,86488,1675890
"Philadelphia, Pennsylvania",1893,57297,1120984
"Brooklyn, New York",1893,40349,914415
"Chicago, Illinois",1893,96976,1279468
"Boston, Massachusetts",1893,46109,482202
"St. Louis, Missouri",1893,25280,488810
"Baltimore, Maryland",1893,31363,456794
"Cincinnati, Ohio",1893,20708,305606
"San Francisco, California",1893,26982,312133
"New Orleans, Louisiana",1893,23228,255558
"Cleveland, Ohio",1893,9368,297478
"Buffalo, New York",1893,NA,284681
"Washington, DC",1893,27245,215686
"Newark, New Jersey",1893,6605,200542
"Louisville, Kentucky",1893,7079,175209
"Detroit, Michigan",1893,8586,229824
"Milwaukee, Wisconsin",1893,6219,228722
"Providence, Rhode Island",1893,7105,145181
"Rochester, New York",1893,NA,142510
"Pittsburgh, Pennsylvania",1893,15189,263307
"Richmond, Virginia",1893,6070,82486
"New Haven, Connecticut",1893,6541,92640
"Lowell, Massachusetts",1893,5635,82878
"New York, New York",1894,98296,1725420
"Philadelphia, Pennsylvania",1894,61478,1145657
"Brooklyn, New York",1894,43275,950439
"Chicago, Illinois",1894,88323,1339340
"Boston, Massachusetts",1894,42035,493443
"St. Louis, Missouri",1894,25033,501157
"Baltimore, Maryland",1894,32136,464246
"Cincinnati, Ohio",1894,20314,308506
"San Francisco, California",1894,25824,316511
"New Orleans, Louisiana",1894,25819,260065
"Cleveland, Ohio",1894,9751,309519
"Buffalo, New York",1894,NA,294353
"Washington, DC",1894,24323,224846
"Newark, New Jersey",1894,6969,207246
"Louisville, Kentucky",1894,8390,179569
"Detroit, Michigan",1894,11762,237807
"Milwaukee, Wisconsin",1894,5943,236807
"Providence, Rhode Island",1894,6548,149526
"Rochester, New York",1894,NA,145381
"Pittsburgh, Pennsylvania",1894,13762,271537
"Richmond, Virginia",1894,5964,82852
"New Haven, Connecticut",1894,6314,94838
"Lowell, Massachusetts",1894,4831,84605
"New York, New York",1895,112997,1782950
"Philadelphia, Pennsylvania",1895,60347,1170330
"Brooklyn, New York",1895,44917,986463
"Chicago, Illinois",1895,83464,1399212
"Boston, Massachusetts",1895,42534,504684
"St. Louis, Missouri",1895,24793,513504
"Baltimore, Maryland",1895,30193,471698
"Cincinnati, Ohio",1895,18606,311405
"San Francisco, California",1895,25960,320890
"New Orleans, Louisiana",1895,22641,264572
"Cleveland, Ohio",1895,11006,321560
"Buffalo, New York",1895,NA,304026
"Washington, DC",1895,23104,233825
"Newark, New Jersey",1895,7174,213550
"Louisville, Kentucky",1895,6111,183929
"Detroit, Michigan",1895,8102,245790
"Milwaukee, Wisconsin",1895,5582,244892
"Providence, Rhode Island",1895,7117,149971
"Rochester, New York",1895,NA,148252
"Pittsburgh, Pennsylvania",1895,14737,279767
"Richmond, Virginia",1895,5412,83218
"New Haven, Connecticut",1895,6202,97036
"Lowell, Massachusetts",1895,5879,86332
"New York, New York",1896,110979,1836480
"Philadelphia, Pennsylvania",1896,58072,1195004
"Brooklyn, New York",1896,38692,1022487
"Chicago, Illinois",1896,96847,1459085
"Boston, Massachusetts",1896,48796,515926
"St. Louis, Missouri",1896,27695,525851
"Baltimore, Maryland",1896,31248,479150
"Cincinnati, Ohio",1896,16480,314304
"San Francisco, California",1896,30462,325268
"New Orleans, Louisiana",1896,24261,269078
"Cleveland, Ohio",1896,10717,333602
"Buffalo, New York",1896,NA,313698
"Washington, DC",1896,22562,242804
"Newark, New Jersey",1896,7156,220054
"Louisville, Kentucky",1896,6947,188289
"Detroit, Michigan",1896,6529,253773
"Milwaukee, Wisconsin",1896,5441,252976
"Providence, Rhode Island",1896,8073,154316
"Rochester, New York",1896,NA,151123
"Pittsburgh, Pennsylvania",1896,15452,287997
"Richmond, Virginia",1896,5538,83584
"New Haven, Connecticut",1896,6181,99234
"Lowell, Massachusetts",1896,5879,88060
"New York, New York",1897,108033,3158265
"Philadelphia, Pennsylvania",1897,62628,1219677
"Chicago, Illinois",1897,83680,1518958
"Boston, Massachusetts",1897,45659,527168
"St. Louis, Missouri",1897,24211,538198
"Baltimore, Maryland",1897,34293,486602
"Cincinnati, Ohio",1897,16502,317204
"San Francisco, California",1897,29168,329646
"New Orleans, Louisiana",1897,21689,273585
"Cleveland, Ohio",1897,14481,345644
"Buffalo, New York",1897,25573,323370
"Washington, DC",1897,22859,251782
"Newark, New Jersey",1897,7183,226558
"Louisville, Kentucky",1897,7379,192649
"Detroit, Michigan",1897,7197,261756
"Milwaukee, Wisconsin",1897,5695,261061
"Providence, Rhode Island",1897,8474,158661
"Rochester, New York",1897,NA,153994
"Pittsburgh, Pennsylvania",1897,16470,296227
"Richmond, Virginia",1897,4694,83950
"New Haven, Connecticut",1897,7033,101432
"Lowell, Massachusetts",1897,4377,89787
"New York, New York",1898,141745,3251244
"Philadelphia, Pennsylvania",1898,62907,1244350
"Chicago, Illinois",1898,77441,1578830
"Boston, Massachusetts",1898,41816,538409
"St. Louis, Missouri",1898,26253,550544
"Baltimore, Maryland",1898,32096,494053
"Cincinnati, Ohio",1898,15504,320103
"San Francisco, California",1898,28013,334025
"New Orleans, Louisiana",1898,21347,278091
"Cleveland, Ohio",1898,14452,357685
"Buffalo, New York",1898,24489,333042
"Washington, DC",1898,25237,260761
"Newark, New Jersey",1898,6268,233062
"Louisville, Kentucky",1898,7280,197009
"Detroit, Michigan",1898,7052,269738
"Milwaukee, Wisconsin",1898,6062,269146
"Providence, Rhode Island",1898,8126,163006
"Rochester, New York",1898,NA,156886
"Pittsburgh, Pennsylvania",1898,NA,304457
"Richmond, Virginia",1898,4617,84316
"New Haven, Connecticut",1898,6728,103631
"Lowell, Massachusetts",1898,NA,91514
"New York, New York",1899,138875,3344223
"Philadelphia, Pennsylvania",1899,62075,1269024
"Chicago, Illinois",1899,71349,1638702
"Boston, Massachusetts",1899,39760,549650
"St. Louis, Missouri",1899,24420,562891
"Baltimore, Maryland",1899,29335,501505
"Cincinnati, Ohio",1899,15540,323003
"San Francisco, California",1899,27769,338404
"New Orleans, Louisiana",1899,NA,282598
"Cleveland, Ohio",1899,15674,369726
"Buffalo, New York",1899,23338,342715
"Washington, DC",1899,25923,269739
"Newark, New Jersey",1899,6590,239566
"Louisville, Kentucky",1899,7700,201369
"Detroit, Michigan",1899,7443,277721
"Milwaukee, Wisconsin",1899,5266,277231
"Providence, Rhode Island",1899,8663,167351
"Rochester, New York",1899,NA,159737
"Pittsburgh, Pennsylvania",1899,18762,312687
"Richmond, Virginia",1899,4493,84682
"New Haven, Connecticut",1899,6314,105829
"Lowell, Massachusetts",1899,3924,93242
"New York, New York",1900,132805,3437202
"Philadelphia, Pennsylvania",1900,65630,1293697
"Chicago, Illinois",1900,70438,1698575
"Boston, Massachusetts",1900,33655,560892
"St. Louis, Missouri",1900,23480,575238
"Baltimore, Maryland",1900,30823,508957
"Cincinnati, Ohio",1900,16331,325902
"San Francisco, California",1900,26448,342782
"New Orleans, Louisiana",1900,17839,287104
"Cleveland, Ohio",1900,19923,381768
"Buffalo, New York",1900,28347,352387
"Washington, DC",1900,25943,278718
"Newark, New Jersey",1900,7232,246070
"Louisville, Kentucky",1900,8048,204731
"Detroit, Michigan",1900,7795,285704
"Milwaukee, Wisconsin",1900,4811,285315
"Providence, Rhode Island",1900,9440,175597
"Rochester, New York",1900,NA,162608
"Pittsburgh, Pennsylvania",1900,NA,321616
"Richmond, Virginia",1900,4860,85050
"New Haven, Connecticut",1900,6165,108027
"Lowell, Massachusetts",1900,4213,94969
"New York, New York",1901,133749,3570190
"Philadelphia, Pennsylvania",1901,61189,1319228
"Chicago, Illinois",1901,69442,1747246
"Boston, Massachusetts",1901,34500,571861
"St. Louis, Missouri",1901,23666,586417
"Baltimore, Maryland",1901,31423,513910
"Cincinnati, Ohio",1901,20584,329671
"San Francisco, California",1901,27362,350195
"New Orleans, Louisiana",1901,17221,292301
"Cleveland, Ohio",1901,19219,399658
"Buffalo, New York",1901,25057,359520
"Washington, DC",1901,26062,283953
"Newark, New Jersey",1901,6399,256210
"Louisville, Kentucky",1901,7396,206651
"Detroit, Michigan",1901,8228,303710
"Milwaukee, Wisconsin",1901,4794,294169
"Providence, Rhode Island",1901,9025,180470
"Rochester, New York",1901,NA,168162
"Pittsburgh, Pennsylvania",1901,NA,342845
"Richmond, Virginia",1901,5137,89308
"New Haven, Connecticut",1901,5229,110585
"Lowell, Massachusetts",1901,4730,96102
"New York, New York",1902,145936,3703178
"Philadelphia, Pennsylvania",1902,65468,1344759
"Chicago, Illinois",1902,70314,1795917
"Boston, Massachusetts",1902,34732,582831
"St. Louis, Missouri",1902,25564,597596
"Baltimore, Maryland",1902,31362,518863
"Cincinnati, Ohio",1902,15822,333440
"San Francisco, California",1902,28480,357608
"New Orleans, Louisiana",1902,16472,297498
"Cleveland, Ohio",1902,18236,417547
"Buffalo, New York",1902,18716,366653
"Washington, DC",1902,29543,289188
"Newark, New Jersey",1902,6912,266350
"Louisville, Kentucky",1902,7958,208571
"Detroit, Michigan",1902,8274,321716
"Milwaukee, Wisconsin",1902,5260,303023
"Providence, Rhode Island",1902,10112,185343
"Rochester, New York",1902,5117,173706
"Pittsburgh, Pennsylvania",1902,NA,364074
"Richmond, Virginia",1902,6153,93566
"New Haven, Connecticut",1902,5149,113143
"Lowell, Massachusetts",1902,NA,97234
"New York, New York",1903,175871,3836166
"Philadelphia, Pennsylvania",1903,75699,1370290
"Chicago, Illinois",1903,77763,1844587
"Boston, Massachusetts",1903,43033,593800
"St. Louis, Missouri",1903,25524,608775
"Baltimore, Maryland",1903,28150,523815
"Cincinnati, Ohio",1903,16192,337209
"San Francisco, California",1903,29336,365021
"New Orleans, Louisiana",1903,16046,302695
"Cleveland, Ohio",1903,22250,435436
"Buffalo, New York",1903,NA,373785
"Washington, DC",1903,29839,294423
"Newark, New Jersey",1903,7394,276490
"Louisville, Kentucky",1903,6945,210490
"Detroit, Michigan",1903,8978,339726
"Milwaukee, Wisconsin",1903,5737,311878
"Providence, Rhode Island",1903,11257,190216
"Rochester, New York",1903,5404,179270
"Pittsburgh, Pennsylvania",1903,NA,385303
"Richmond, Virginia",1903,7090,97823
"New Haven, Connecticut",1903,5246,115700
"Lowell, Massachusetts",1903,5209,98366
"New York, New York",1904,175880,3969154
"Philadelphia, Pennsylvania",1904,73061,1395821
"Chicago, Illinois",1904,66713,1893258
"Boston, Massachusetts",1904,50265,604769
"St. Louis, Missouri",1904,30560,619954
"Baltimore, Maryland",1904,30999,528768
"Cincinnati, Ohio",1904,17849,340978
"San Francisco, California",1904,36208,372434
"New Orleans, Louisiana",1904,15879,307892
"Cleveland, Ohio",1904,24728,453326
"Buffalo, New York",1904,19608,380918
"Washington, DC",1904,29483,299658
"Newark, New Jersey",1904,6626,286630
"Louisville, Kentucky",1904,6793,212410
"Detroit, Michigan",1904,8857,357729
"Milwaukee, Wisconsin",1904,5666,320732
"Providence, Rhode Island",1904,11222,195089
"Rochester, New York",1904,6691,184824
"Pittsburgh, Pennsylvania",1904,NA,406532
"Richmond, Virginia",1904,6525,102081
"New Haven, Connecticut",1904,5333,118258
"Lowell, Massachusetts",1904,3934,99499
"New York, New York",1905,198356,4102143
"Philadelphia, Pennsylvania",1905,80855,1421352
"Chicago, Illinois",1905,82572,1941929
"Boston, Massachusetts",1905,48358,615738
"St. Louis, Missouri",1905,26225,631134
"Baltimore, Maryland",1905,34036,533721
"Cincinnati, Ohio",1905,18879,344746
"San Francisco, California",1905,33893,379847
"New Orleans, Louisiana",1905,24418,313090
"Cleveland, Ohio",1905,27926,471216
"Buffalo, New York",1905,20475,388050
"Washington, DC",1905,32016,304894
"Newark, New Jersey",1905,7541,296770
"Louisville, Kentucky",1905,7545,214330
"Detroit, Michigan",1905,11113,375735
"Milwaukee, Wisconsin",1905,6153,329586
"Providence, Rhode Island",1905,11073,199962
"Rochester, New York",1905,6970,190378
"Pittsburgh, Pennsylvania",1905,NA,427761
"Richmond, Virginia",1905,7123,106339
"New Haven, Connecticut",1905,5619,120816
"Lowell, Massachusetts",1905,4915,100632
"New York, New York",1906,189202,4235131
"Philadelphia, Pennsylvania",1906,83325,1446884
"Chicago, Illinois",1906,91554,1990599
"Boston, Massachusetts",1906,49906,626708
"St. Louis, Missouri",1906,29315,642313
"Baltimore, Maryland",1906,34511,538674
"Cincinnati, Ohio",1906,16991,348515
"San Francisco, California",1906,NA,387260
"New Orleans, Louisiana",1906,26827,318287
"Cleveland, Ohio",1906,31736,489105
"Buffalo, New York",1906,22712,395183
"Washington, DC",1906,32940,310128
"Newark, New Jersey",1906,8673,306910
"Louisville, Kentucky",1906,7806,216249
"Detroit, Michigan",1906,12324,393741
"Milwaukee, Wisconsin",1906,6804,338440
"Providence, Rhode Island",1906,12262,204835
"Rochester, New York",1906,7737,195932
"Pittsburgh, Pennsylvania",1906,NA,448990
"Richmond, Virginia",1906,7982,110597
"New Haven, Connecticut",1906,5614,123374
"Lowell, Massachusetts",1906,4894,101764
"New York, New York",1907,204119,4368119
"Philadelphia, Pennsylvania",1907,85863,1472415
"Chicago, Illinois",1907,63132,2039271
"Boston, Massachusetts",1907,57078,637677
"St. Louis, Missouri",1907,32959,653492
"Baltimore, Maryland",1907,34574,543627
"Cincinnati, Ohio",1907,16141,352284
"San Francisco, California",1907,27013,394673
"New Orleans, Louisiana",1907,29709,323484
"Cleveland, Ohio",1907,30418,506994
"Buffalo, New York",1907,27128,402316
"Washington, DC",1907,34417,315363
"Newark, New Jersey",1907,10178,317050
"Louisville, Kentucky",1907,7907,218169
"Detroit, Michigan",1907,11291,411748
"Milwaukee, Wisconsin",1907,8277,347294
"Providence, Rhode Island",1907,12953,209708
"Rochester, New York",1907,7971,201487
"Pittsburgh, Pennsylvania",1907,NA,470219
"Richmond, Virginia",1907,9602,114855
"New Haven, Connecticut",1907,5473,125932
"Lowell, Massachusetts",1907,4727,102896
"New York, New York",1908,244822,4501107
"Philadelphia, Pennsylvania",1908,90552,1497946
"Chicago, Illinois",1908,68220,2087941
"Boston, Massachusetts",1908,68146,648646
"St. Louis, Missouri",1908,33152,664671
"Baltimore, Maryland",1908,34846,548579
"Cincinnati, Ohio",1908,17396,356053
"San Francisco, California",1908,38738,402086
"New Orleans, Louisiana",1908,30213,328681
"Cleveland, Ohio",1908,10085,524884
"Buffalo, New York",1908,32719,409448
"Washington, DC",1908,33415,320598
"Newark, New Jersey",1908,8973,327190
"Louisville, Kentucky",1908,10824,220089
"Detroit, Michigan",1908,11676,429754
"Milwaukee, Wisconsin",1908,8175,356149
"Providence, Rhode Island",1908,11745,214581
"Rochester, New York",1908,8685,207041
"Pittsburgh, Pennsylvania",1908,42908,491448
"Richmond, Virginia",1908,8989,119112
"New Haven, Connecticut",1908,5683,128489
"Lowell, Massachusetts",1908,4839,104029
"New York, New York",1909,220334,4634095
"Philadelphia, Pennsylvania",1909,80879,1523477
"Chicago, Illinois",1909,70575,2136612
"Boston, Massachusetts",1909,71512,659616
"St. Louis, Missouri",1909,38128,675820
"Baltimore, Maryland",1909,31806,553532
"Cincinnati, Ohio",1909,16329,359822
"San Francisco, California",1909,34336,409499
"New Orleans, Louisiana",1909,27044,333878
"Cleveland, Ohio",1909,6018,542774
"Buffalo, New York",1909,NA,416581
"Washington, DC",1909,35910,325833
"Newark, New Jersey",1909,8618,337330
"Louisville, Kentucky",1909,12852,222008
"Detroit, Michigan",1909,14718,447760
"Milwaukee, Wisconsin",1909,7817,365003
"Providence, Rhode Island",1909,NA,219454
"Rochester, New York",1909,8157,212595
"Pittsburgh, Pennsylvania",1909,35621,512677
"Richmond, Virginia",1909,9290,123370
"New Haven, Connecticut",1909,5765,131047
"Lowell, Massachusetts",1909,4797,105162
"New York, New York",1910,170681,4766883
"Philadelphia, Pennsylvania",1910,82017,1549008
"Chicago, Illinois",1910,81269,2185283
"Boston, Massachusetts",1910,71207,670585
"St. Louis, Missouri",1910,37102,687029
"Baltimore, Maryland",1910,33055,558485
"Cincinnati, Ohio",1910,16875,363591
"San Francisco, California",1910,29855,426912
"New Orleans, Louisiana",1910,25087,339075
"Cleveland, Ohio",1910,7185,560663
"Buffalo, New York",1910,22203,423715
"Washington, DC",1910,34003,331069
"Newark, New Jersey",1910,9200,347469
"Louisville, Kentucky",1910,14183,223928
"Detroit, Michigan",1910,17875,465766
"Milwaukee, Wisconsin",1910,8827,373857
"Providence, Rhode Island",1910,NA,224326
"Rochester, New York",1910,8022,218149
"Pittsburgh, Pennsylvania",1910,39151,533905
"Richmond, Virginia",1910,9603,127628
"New Haven, Connecticut",1910,6193,133605
"Lowell, Massachusetts",1910,4771,106294
"New York, New York",1911,153768,4852200
"Philadelphia, Pennsylvania",1911,87557,1576485
"Chicago, Illinois",1911,84838,2236925
"Boston, Massachusetts",1911,70442,678333
"St. Louis, Missouri",1911,34868,695614
"Baltimore, Maryland",1911,32758,576019
"Cincinnati, Ohio",1911,18031,367357
"San Francisco, California",1911,32914,425888
"New Orleans, Louisiana",1911,25559,343889
"Cleveland, Ohio",1911,NA,584281
"Buffalo, New York",1911,24229,432021
"Washington, DC",1911,34068,341719
"Newark, New Jersey",1911,8791,354174
"Louisville, Kentucky",1911,16434,225024
"Detroit, Michigan",1911,NA,518557
"Milwaukee, Wisconsin",1911,9145,382186
"Providence, Rhode Island",1911,11344,225653
"Rochester, New York",1911,7596,225909
"Pittsburgh, Pennsylvania",1911,36912,539349
"Richmond, Virginia",1911,10497,132032
"New Haven, Connecticut",1911,6706,136498
"Lowell, Massachusetts",1911,4660,106940
"New York, New York",1912,170375,4937516
"Philadelphia, Pennsylvania",1912,96084,1603962
"Chicago, Illinois",1912,86950,2288567
"Boston, Massachusetts",1912,75496,686082
"St. Louis, Missouri",1912,37265,696469
"Baltimore, Maryland",1912,36864,593553
"Cincinnati, Ohio",1912,18913,371122
"San Francisco, California",1912,35594,434865
"New Orleans, Louisiana",1912,26428,348703
"Cleveland, Ohio",1912,7048,607899
"Buffalo, New York",1912,27064,440327
"Washington, DC",1912,35739,352369
"Newark, New Jersey",1912,9234,360880
"Louisville, Kentucky",1912,16326,226121
"Detroit, Michigan",1912,21850,571348
"Pittsburgh, Pennsylvania",1912,46185,544793
"Richmond, Virginia",1912,11073,136436
"New Haven, Connecticut",1912,7723,139391
"Lowell, Massachusetts",1912,4516,107587
"Rochester, New York",1912,7172,233669
"Providence, Rhode Island",1912,11102,226980
"Milwaukee, Wisconsin",1912,8927,390515
"New York, New York",1913,182011,5022832
"Philadelphia, Pennsylvania",1913,103673,1631439
"Chicago, Illinois",1913,109764,2340210
"Boston, Massachusetts",1913,81767,693830
"St. Louis, Missouri",1913,39357,705054
"Baltimore, Maryland",1913,42941,611087
"Cincinnati, Ohio",1913,24054,374888
"San Francisco, California",1913,37333,443841
"New Orleans, Louisiana",1913,30649,353518
"Cleveland, Ohio",1913,13892,631516
"Buffalo, New York",1913,28401,448633
"Washington, DC",1913,38396,363020
"Newark, New Jersey",1913,9797,367586
"Louisville, Kentucky",1913,13390,227217
"Detroit, Michigan",1913,26861,624140
"Milwaukee, Wisconsin",1913,9892,398844
"Providence, Rhode Island",1913,NA,228307
"Rochester, New York",1913,7517,241429
"Pittsburgh, Pennsylvania",1913,45323,550236
"Richmond, Virginia",1913,12428,140840
"New Haven, Connecticut",1913,8556,142285
"Lowell, Massachusetts",1913,5331,108234
"New York, New York",1914,190184,5108149
"Philadelphia, Pennsylvania",1914,100629,1658916
"Chicago, Illinois",1914,116895,2391852
"Boston, Massachusetts",1914,89205,701578
"St. Louis, Missouri",1914,38896,713639
"Baltimore, Maryland",1914,43573,628621
"Cincinnati, Ohio",1914,25339,378653
"San Francisco, California",1914,38615,452818
"New Orleans, Louisiana",1914,37468,358332
"Cleveland, Ohio",1914,14427,655134
"Buffalo, New York",1914,33646,456939
"Washington, DC",1914,37241,373670
"Newark, New Jersey",1914,9771,374291
"Louisville, Kentucky",1914,12645,228313
"Detroit, Michigan",1914,20510,676931
"Milwaukee, Wisconsin",1914,11380,407173
"Providence, Rhode Island",1914,10812,229634
"Rochester, New York",1914,7550,249189
"Pittsburgh, Pennsylvania",1914,47652,555780
"Richmond, Virginia",1914,12170,145244
"New Haven, Connecticut",1914,9526,145178
"Lowell, Massachusetts",1914,5458,108880
"New York, New York",1915,212452,5193465
"Philadelphia, Pennsylvania",1915,91237,1686393
"Chicago, Illinois",1915,121714,2443494
"Boston, Massachusetts",1915,88762,709326
"St. Louis, Missouri",1915,39095,722224
"Baltimore, Maryland",1915,40978,646156
"Cincinnati, Ohio",1915,25547,382419
"San Francisco, California",1915,44131,461794
"New Orleans, Louisiana",1915,37086,363147
"Cleveland, Ohio",1915,14950,678754
"Buffalo, New York",1915,31096,465245
"Washington, DC",1915,37219,384320
"Newark, New Jersey",1915,11230,380996
"Louisville, Kentucky",1915,12212,229410
"Detroit, Michigan",1915,21687,729722
"Milwaukee, Wisconsin",1915,11292,415502
"Providence, Rhode Island",1915,10605,230961
"Rochester, New York",1915,7988,256949
"Pittsburgh, Pennsylvania",1915,45652,561224
"Richmond, Virginia",1915,12728,149648
"New Haven, Connecticut",1915,10366,148071
"Lowell, Massachusetts",1915,5379,109526
"New York, New York",1916,200901,5278782
"Philadelphia, Pennsylvania",1916,95783,1713870
"Chicago, Illinois",1916,111587,2495136
"Boston, Massachusetts",1916,94476,717075
"St. Louis, Missouri",1916,42516,730809
"Baltimore, Maryland",1916,44488,663690
"Cincinnati, Ohio",1916,32271,386185
"San Francisco, California",1916,51430,470770
"Buffalo, New York",1916,35144,473551
"Washington, DC",1916,39377,394970
"Newark, New Jersey",1916,12191,387702
"Detroit, Michigan",1916,29541,782513
"Milwaukee, Wisconsin",1916,11101,423831
"Rochester, New York",1916,7792,264709
"Richmond, Virginia",1916,13220,154052
"New Haven, Connecticut",1916,12687,150964
"Lowell, Massachusetts",1916,5930,110173
"New York, New York",1917,187913,5364098
"Philadelphia, Pennsylvania",1917,96041,1741347
"Chicago, Illinois",1917,137910,2546778
"Boston, Massachusetts",1917,108556,724823
"St. Louis, Missouri",1917,54400,739394
"Baltimore, Maryland",1917,49147,681224
"San Francisco, California",1917,47809,479746
"Buffalo, New York",1917,35853,481857
"Washington, DC",1917,39562,405620
"Newark, New Jersey",1917,12388,394408
"Detroit, Michigan",1917,37764,835304
"Milwaukee, Wisconsin",1917,12107,432160
"Rochester, New York",1917,5882,272469
"Richmond, Virginia",1917,10243,158456
"New Haven, Connecticut",1917,12188,153857
"Lowell, Massachusetts",1917,6890,110820
"New York, New York",1918,170159,5449414
"Philadelphia, Pennsylvania",1918,94039,1768824
"Chicago, Illinois",1918,110819,2598421
"Boston, Massachusetts",1918,90293,732571
"St. Louis, Missouri",1918,49630,747979
"Baltimore, Maryland",1918,62076,698758
"Buffalo, New York",1918,35902,490163
"Washington, DC",1918,43245,416271
"Newark, New Jersey",1918,13087,401113
"Detroit, Michigan",1918,38210,888096
"Milwaukee, Wisconsin",1918,10039,440489
"Rochester, New York",1918,4232,280229
"Richmond, Virginia",1918,11963,162860
"New Haven, Connecticut",1918,11480,156751
"Lowell, Massachusetts",1918,7989,111466
"New York, New York",1919,220149,5534732
"Philadelphia, Pennsylvania",1919,75618,1796301
"Chicago, Illinois",1919,96676,2650063
"Boston, Massachusetts",1919,67947,740320
"St. Louis, Missouri",1919,45876,756564
"Baltimore, Maryland",1919,50027,716292
"Buffalo, New York",1919,31326,498469
"Washington, DC",1919,53356,426921
"Newark, New Jersey",1919,11510,407818
"Detroit, Michigan",1919,NA,940887
"Milwaukee, Wisconsin",1919,9138,448818
"Richmond, Virginia",1919,12463,167264
"New Haven, Connecticut",1919,9352,159644
"Lowell, Massachusetts",1919,5484,112113
"New York, New York",1920,266749,5620048
"Philadelphia, Pennsylvania",1920,73015,1823779
"Chicago, Illinois",1920,94453,2701705
"Boston, Massachusetts",1920,58817,748060
"Baltimore, Maryland",1920,41988,733826
"Buffalo, New York",1920,24436,506755
"Washington, DC",1920,48930,437571
"Newark, New Jersey",1920,14798,414524
"Detroit, Michigan",1920,NA,993678
"Milwaukee, Wisconsin",1920,10545,457147
"New Haven, Connecticut",1920,7934,162537
"Lowell, Massachusetts",1920,3932,2759
